City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Los Llanos De Aridane,ES,2022-01-29 21:12:03,28.6585,-17.9182,58.75,74,9,5.99
1,Wanning,CN,2022-01-29 21:12:04,18.8003,110.3967,62.6,87,100,9.42
2,Bredasdorp,ZA,2022-01-29 21:12:04,-34.5322,20.0403,64.27,72,5,10.98
3,Kirovo-Chepetsk,RU,2022-01-29 21:12:05,58.5539,50.0399,6.33,97,99,4.7
4,Mount Isa,AU,2022-01-29 21:12:05,-20.7333,139.5,74.97,100,75,6.91
5,Burns Lake,CA,2022-01-29 21:12:05,54.2331,-125.7533,33.13,86,100,4.72
6,Tacoronte,ES,2022-01-29 21:12:06,28.4769,-16.4102,59.94,66,40,8.99
7,Cap-Aux-Meules,CA,2022-01-29 21:12:06,47.3821,-61.8597,26.65,93,100,47.18
8,Salalah,OM,2022-01-29 21:09:34,17.0151,54.0924,71.69,73,0,1.14
9,Bluff,NZ,2022-01-29 21:12:07,-46.6,168.3333,58.39,88,100,6.85
10,La Ronge,CA,2022-01-29 21:11:43,55.1001,-105.2842,4.26,93,97,3.91
11,Narsaq,GL,2022-01-29 21:12:07,60.9167,-46.05,14.22,96,100,2.48
12,Rikitea,PF,2022-01-29 21:09:33,-23.1203,-134.9692,77.32,73,100,10.71
13,Punta Arenas,CL,2022-01-29 21:10:38,-53.15,-70.9167,53.71,54,75,17.27
14,Ismailia,EG,2022-01-29 21:12:08,30.6043,32.2723,55.92,63,96,3.51
15,Anshun,CN,2022-01-29 21:12:09,26.25,105.9333,30.54,93,7,1.59
16,Busselton,AU,2022-01-29 21:12:09,-33.65,115.3333,67.05,91,5,14.34
17,Sabha,LY,2022-01-29 21:12:10,27.0377,14.4283,49.3,29,47,7.0
18,East London,ZA,2022-01-29 21:11:53,-33.0153,27.9116,72.01,80,83,10.71
19,Grootfontein,NA,2022-01-29 21:12:10,-19.5667,18.1167,67.48,84,79,6.06
20,Hobart,AU,2022-01-29 21:12:11,-42.8794,147.3294,62.02,69,100,1.01
21,Malim,PH,2022-01-29 21:12:11,7.452,123.4312,78.73,79,94,2.35
22,Cabo San Lucas,MX,2022-01-29 21:12:12,22.8909,-109.9124,80.62,56,0,7.0
23,Sao Filipe,CV,2022-01-29 21:12:12,14.8961,-24.4956,71.11,71,100,13.0
24,Hermanus,ZA,2022-01-29 21:12:12,-34.4187,19.2345,64.8,76,3,13.76
25,Jamestown,US,2022-01-29 21:10:42,42.097,-79.2353,16.09,48,0,5.01
26,Liverpool,GB,2022-01-29 21:07:49,53.4106,-2.9779,46.69,80,75,10.0
27,Cayenne,GF,2022-01-29 21:09:33,4.9333,-52.3333,80.1,77,0,2.3
28,Mar Del Plata,AR,2022-01-29 21:10:05,-38.0023,-57.5575,84.22,90,0,18.01
29,Paita,PE,2022-01-29 21:12:14,-5.0892,-81.1144,81.16,72,59,16.58
30,Sao Joao Da Barra,BR,2022-01-29 21:07:39,-21.6403,-41.0511,77.09,89,54,9.98
31,Ketchikan,US,2022-01-29 21:12:14,55.3422,-131.6461,42.78,93,99,7.9
32,Khandbari,NP,2022-01-29 21:12:15,27.3747,87.2039,47.52,80,62,0.94
33,Ushuaia,AR,2022-01-29 21:10:50,-54.8,-68.3,51.94,89,100,3.13
34,Chuy,UY,2022-01-29 21:12:15,-33.6971,-53.4616,74.12,61,18,11.32
35,Vardo,NO,2022-01-29 21:12:16,70.3705,31.1107,21.31,78,93,0.96
36,Mataura,NZ,2022-01-29 21:10:46,-46.1927,168.8643,57.36,93,100,2.57
37,Portland,US,2022-01-29 21:09:10,45.5234,-122.6762,52.56,54,20,1.99
38,Bambous Virieux,MU,2022-01-29 21:10:17,-20.3428,57.7575,79.21,70,99,13.65
39,Hakkari,TR,2022-01-29 21:12:17,37.5833,44.1667,6.8,97,84,1.74
40,Kaitangata,NZ,2022-01-29 21:09:24,-46.2817,169.8464,56.39,93,100,4.25
41,Nave,IT,2022-01-29 21:12:17,45.5875,10.29,39.38,80,63,2.3
42,Lagunas,PE,2022-01-29 21:12:18,-5.2269,-75.6753,92.03,45,100,4.68
43,San Quintin,MX,2022-01-29 21:09:35,30.4833,-115.95,66.65,34,5,8.43
44,Pangnirtung,CA,2022-01-29 21:11:17,66.1451,-65.7125,-19.37,99,100,4.07
45,Namanga,KE,2022-01-29 21:12:19,-2.5433,36.7905,68.9,68,100,6.8
46,Yar-Sale,RU,2022-01-29 21:10:57,66.8333,70.8333,-9.54,97,93,8.77
47,Auki,SB,2022-01-29 21:13:12,-8.7676,160.7034,80.1,86,99,5.73
48,Seoul,KR,2022-01-29 21:09:14,37.5683,126.9778,22.44,32,79,2.68
49,Salihorsk,BY,2022-01-29 21:13:20,52.7876,27.5415,27.36,96,100,18.03
50,Qaanaaq,GL,2022-01-29 21:13:20,77.484,-69.3632,0.36,64,100,11.1
51,Cape Town,ZA,2022-01-29 21:11:00,-33.9258,18.4232,68.11,72,0,4.0
52,Puerto Ayora,EC,2022-01-29 21:13:21,-0.7393,-90.3518,82.36,71,28,9.35
53,Dikson,RU,2022-01-29 21:13:21,73.5069,80.5464,3.61,93,99,21.88
54,Albany,US,2022-01-29 21:08:41,42.6001,-73.9662,15.37,61,100,7.0
55,Tuktoyaktuk,CA,2022-01-29 21:13:22,69.4541,-133.0374,-8.73,95,100,16.89
56,Grand-Lahou,CI,2022-01-29 21:13:22,5.1367,-5.0242,80.06,87,18,7.25
57,Quatre Cocos,MU,2022-01-29 21:13:23,-20.2078,57.7625,79.09,71,97,14.32
58,Butaritari,KI,2022-01-29 21:13:23,3.0707,172.7902,82.11,76,25,19.89
59,Cidreira,BR,2022-01-29 21:13:23,-30.1811,-50.2056,73.67,58,56,12.64
60,Ribeira Brava,PT,2022-01-29 21:13:24,32.65,-17.0667,65.03,68,20,5.64
61,Urucui,BR,2022-01-29 21:13:24,-7.2294,-44.5561,73.62,85,74,4.52
62,Saint-Philippe,RE,2022-01-29 21:12:18,-21.3585,55.7679,76.59,85,55,9.06
63,Naze,JP,2022-01-29 21:13:25,28.3667,129.4833,56.79,78,100,13.96
64,Yellowknife,CA,2022-01-29 21:13:25,62.456,-114.3525,-4.59,94,82,5.86
65,Hamilton,US,2022-01-29 21:13:26,39.1834,-84.5333,26.2,58,40,1.01
66,Saint George,US,2022-01-29 21:12:20,37.1041,-113.5841,64.87,15,0,1.99
67,Tucumcari,US,2022-01-29 21:13:26,35.1717,-103.725,60.94,14,0,6.91
68,Bowen,AU,2022-01-29 21:13:27,-20.0167,148.2333,76.87,79,8,9.98
69,Saskylakh,RU,2022-01-29 21:13:27,71.9167,114.0833,-21.84,100,99,3.44
70,Lasa,IT,2022-01-29 21:13:27,46.6166,10.7002,34.54,60,3,8.55
71,Hilo,US,2022-01-29 21:10:46,19.7297,-155.09,78.53,55,20,8.05
72,Karlstad,SE,2022-01-29 21:13:28,59.3793,13.5036,41.56,60,95,18.41
73,Lyubech,UA,2022-01-29 21:13:29,51.7026,30.6569,21.83,93,100,9.8
74,Usinsk,RU,2022-01-29 21:09:19,65.9939,57.5281,12.15,92,100,19.42
75,Carnarvon,AU,2022-01-29 21:10:50,-24.8667,113.6333,77.07,88,84,10.36
76,South Sioux City,US,2022-01-29 21:13:29,42.4739,-96.4136,53.55,24,0,8.99
77,Airai,TL,2022-01-29 21:13:30,-8.9266,125.4092,60.71,92,100,3.29
78,Bahia Blanca,AR,2022-01-29 21:13:30,-38.7196,-62.2724,96.15,20,0,12.62
79,Omboue,GA,2022-01-29 21:13:31,-1.5746,9.2618,78.6,86,98,6.15
80,Bathsheba,BB,2022-01-29 21:13:31,13.2167,-59.5167,79.41,69,40,13.8
81,Mirabela,BR,2022-01-29 21:13:32,-16.2628,-44.1644,71.46,90,81,4.97
82,Kupang,ID,2022-01-29 21:13:32,-10.1667,123.5833,79.92,85,100,12.71
83,Ribeira Grande,PT,2022-01-29 21:10:45,38.5167,-28.7,59.4,67,20,5.75
84,Yulara,AU,2022-01-29 21:13:33,-25.2406,130.9889,76.91,77,63,17.96
85,Taua,BR,2022-01-29 21:13:33,-5.9667,-40.3,74.07,81,100,10.09
86,Richards Bay,ZA,2022-01-29 21:13:34,-28.783,32.0377,71.89,83,61,3.22
87,Goalpara,IN,2022-01-29 21:13:35,26.1667,90.6167,53.87,57,0,2.24
88,Avarua,CK,2022-01-29 21:13:35,-21.2078,-159.775,82.45,78,20,9.22
89,Paamiut,GL,2022-01-29 21:13:35,61.994,-49.6678,16.0,70,100,24.45
90,Kralendijk,BQ,2022-01-29 21:13:36,12.15,-68.2667,82.38,65,40,11.5
91,Atuona,PF,2022-01-29 21:13:37,-9.8,-139.0333,77.72,75,18,13.67
92,Padang,ID,2022-01-29 21:13:37,-0.9492,100.3543,76.53,90,66,3.65
93,Kapaa,US,2022-01-29 21:14:38,22.0752,-159.319,80.58,72,20,1.01
94,Port Elizabeth,ZA,2022-01-29 21:14:38,-33.918,25.5701,67.1,88,75,9.22
95,Nantucket,US,2022-01-29 21:14:39,41.2835,-70.0995,26.1,90,100,47.2
96,Beibei,CN,2022-01-29 21:14:39,29.8256,106.4339,46.24,81,36,4.0
97,Praia Da Vitoria,PT,2022-01-29 21:13:11,38.7333,-27.0667,58.75,87,39,10.09
98,Atar,MR,2022-01-29 21:14:40,20.5169,-13.0499,76.19,20,100,3.2
99,Buala,SB,2022-01-29 21:14:41,-8.145,159.5921,81.32,83,100,6.8
100,Pevek,RU,2022-01-29 21:12:00,69.7008,170.3133,-18.06,99,82,3.44
101,Catamarca,AR,2022-01-29 21:13:40,-28.4696,-65.7852,86.05,56,69,10.31
102,Aklavik,CA,2022-01-29 21:11:59,68.2191,-135.0107,-19.21,90,91,4.94
103,Goderich,CA,2022-01-29 21:13:16,43.7501,-81.7165,17.91,79,89,6.67
104,Klaksvik,FO,2022-01-29 21:12:17,62.2266,-6.589,34.72,63,60,28.54
105,Santiago Del Estero,AR,2022-01-29 21:14:42,-27.7951,-64.2615,89.56,24,0,4.54
106,Marsh Harbour,BS,2022-01-29 21:14:43,26.5412,-77.0636,59.67,60,19,28.05
107,Olinda,BR,2022-01-29 21:14:43,-8.0089,-34.8553,80.33,74,75,2.3
108,Ystad,SE,2022-01-29 21:14:43,55.4297,13.8204,43.54,63,91,42.77
109,Touros,BR,2022-01-29 21:14:44,-5.1989,-35.4608,79.7,77,95,10.31
110,Verkh-Usugli,RU,2022-01-29 21:14:44,52.7,115.1667,-14.69,96,10,2.82
111,Sinnamary,GF,2022-01-29 21:14:45,5.3833,-52.95,78.8,79,81,7.74
112,Itarema,BR,2022-01-29 21:14:45,-2.9248,-39.9167,79.66,69,96,9.73
113,Moose Factory,CA,2022-01-29 21:14:46,51.2585,-80.6094,-0.4,71,0,5.75
114,Namibe,AO,2022-01-29 21:14:46,-15.1961,12.1522,72.28,76,100,6.69
115,Mantua,IT,2022-01-29 21:14:46,45.1667,10.7833,43.7,75,100,3.8
116,Peniche,PT,2022-01-29 21:11:35,39.3558,-9.3811,58.73,50,6,9.42
117,Port Alfred,ZA,2022-01-29 21:14:47,-33.5906,26.891,70.18,83,46,12.37
118,Vaini,TO,2022-01-29 21:14:47,-21.2,-175.2,81.46,78,100,16.84
119,Barrow,US,2022-01-29 21:10:36,71.2906,-156.7887,-7.58,77,100,11.5
120,Leh,IN,2022-01-29 21:14:48,34.1667,77.5833,-1.34,95,99,2.21
121,Samarai,PG,2022-01-29 21:14:48,-10.6167,150.6667,80.17,78,100,8.23
122,Khandyga,RU,2022-01-29 21:14:49,62.6667,135.6,-41.03,99,59,1.95
123,Raisen,IN,2022-01-29 21:14:49,23.3333,77.8,53.38,36,0,2.64
124,Tabou,CI,2022-01-29 21:14:50,4.423,-7.3528,80.26,85,30,6.85
125,Fort Nelson,CA,2022-01-29 21:14:50,58.8053,-122.7002,8.19,78,100,9.22
126,Hithadhoo,MV,2022-01-29 21:10:32,-0.6,73.0833,80.87,67,89,3.11
127,Moissala,TD,2022-01-29 21:14:51,8.3404,17.7663,75.31,19,12,5.37
128,Svetlyy,RU,2022-01-29 21:14:51,54.675,20.1347,42.96,86,100,31.7
129,Gravdal,NO,2022-01-29 21:14:51,68.1214,13.5031,29.98,74,100,9.15
130,Traverse City,US,2022-01-29 21:13:32,44.7631,-85.6206,23.61,68,75,8.05
131,Soe,ID,2022-01-29 21:14:52,-9.8607,124.284,66.94,91,100,4.7
132,Phan Thiet,VN,2022-01-29 21:09:54,10.9333,108.1,71.83,89,81,2.8
133,Norman Wells,CA,2022-01-29 21:14:53,65.282,-126.8329,-23.76,76,40,2.3
134,Torbay,CA,2022-01-29 21:14:12,47.6666,-52.7314,33.58,92,100,21.85
135,Kati,ML,2022-01-29 21:14:54,12.7441,-8.0726,80.01,16,1,5.37
136,Eureka,US,2022-01-29 21:14:55,40.8021,-124.1637,57.25,74,4,1.01
137,Tasiilaq,GL,2022-01-29 21:14:55,65.6145,-37.6368,15.96,76,94,6.64
138,Bandarbeyla,SO,2022-01-29 21:14:55,9.4942,50.8122,75.76,65,94,21.99
139,Wawa,NG,2022-01-29 21:15:56,9.9022,4.4192,79.52,21,46,5.64
140,Liusha,CN,2022-01-29 21:15:57,27.2098,108.59,29.91,93,77,2.04
141,Nago,JP,2022-01-29 21:15:57,26.5881,127.9761,62.76,84,100,14.14
142,Iqaluit,CA,2022-01-29 21:15:57,63.7506,-68.5145,-9.67,64,75,6.91
143,Pyapon,MM,2022-01-29 21:12:45,16.2833,95.6833,62.46,74,45,8.39
144,Koumra,TD,2022-01-29 21:15:58,8.9126,17.5539,77.4,18,64,6.93
145,Point Pleasant,US,2022-01-29 21:15:59,40.0832,-74.0682,20.3,73,100,7.0
146,Sitka,US,2022-01-29 21:11:51,57.0531,-135.33,37.29,81,100,14.97
147,Prince Rupert,CA,2022-01-29 21:11:44,54.3161,-130.3201,41.09,93,100,14.97
148,Port Hedland,AU,2022-01-29 21:15:59,-20.3167,118.5667,80.65,78,100,5.75
149,Ambon,ID,2022-01-29 21:16:00,-3.6954,128.1814,80.74,78,40,6.91
150,General Roca,AR,2022-01-29 21:16:00,-39.0333,-67.5833,95.4,9,0,17.43
151,Thunder Bay,CA,2022-01-29 21:16:01,48.4001,-89.3168,18.55,83,100,3.44
152,Chimbote,PE,2022-01-29 21:16:01,-9.0853,-78.5783,74.43,71,100,11.03
153,Broome,US,2022-01-29 21:16:01,42.2506,-75.833,13.21,59,0,5.99
154,Leningradskiy,RU,2022-01-29 21:16:02,69.3833,178.4167,-9.83,90,55,5.03
155,Dali,CN,2022-01-29 21:16:03,25.7,100.1833,35.98,68,0,2.84
156,Arlit,NE,2022-01-29 21:16:03,18.7369,7.3853,64.17,14,1,7.85
157,Flinders,AU,2022-01-29 21:16:03,-34.5833,150.8552,75.38,84,100,5.99
158,Raahe,FI,2022-01-29 21:16:04,64.6833,24.4833,26.69,97,100,8.21
159,Selje,NO,2022-01-29 21:16:04,62.0459,5.351,40.86,81,100,39.48
160,Ponta Do Sol,PT,2022-01-29 21:16:05,32.6667,-17.1,65.03,67,25,5.06
161,Half Moon Bay,US,2022-01-29 21:16:05,37.4636,-122.4286,66.97,51,0,1.99
162,Guerrero Negro,MX,2022-01-29 21:16:06,27.9769,-114.0611,71.19,29,8,12.35
163,Baykit,RU,2022-01-29 21:16:06,61.67,96.37,-2.51,100,99,0.78
164,Namatanai,PG,2022-01-29 21:12:57,-3.6667,152.4333,80.28,80,100,2.04
165,Maniitsoq,GL,2022-01-29 21:16:07,65.4167,-52.9,8.65,76,100,28.45
166,Moron,AR,2022-01-29 21:16:07,-34.6534,-58.6198,83.93,56,60,8.79
167,Sterling,US,2022-01-29 21:15:39,39.0062,-77.4286,27.1,40,20,1.99
168,Gambat,PK,2022-01-29 21:16:08,27.3515,68.5205,53.69,34,0,5.57
169,Chapais,CA,2022-01-29 21:16:09,49.7834,-74.8492,-2.42,88,6,2.3
170,Bulgan,MN,2022-01-29 21:16:09,48.8125,103.5347,-7.2,94,93,4.59
171,Poum,NC,2022-01-29 21:11:35,-20.2333,164.0167,80.92,79,39,9.19
172,Yuksekova,TR,2022-01-29 21:16:10,37.5736,44.2872,14.63,99,92,2.06
173,New Norfolk,AU,2022-01-29 21:16:10,-42.7826,147.0587,61.66,61,23,1.01
174,Murgab,TM,2022-01-29 21:16:11,37.4966,61.9714,37.27,75,75,6.91
175,Kelo,TD,2022-01-29 21:16:11,9.3086,15.8066,75.69,16,8,9.69
176,Meulaboh,ID,2022-01-29 21:16:12,4.1363,96.1285,77.54,87,78,2.89
177,Ust-Omchug,RU,2022-01-29 21:16:12,61.15,149.6333,-9.06,99,98,6.29
178,Fortuna,US,2022-01-29 21:11:50,40.5982,-124.1573,56.93,75,0,7.0
179,Clyde River,CA,2022-01-29 21:16:13,70.4692,-68.5914,-7.37,64,100,9.22
180,Ilulissat,GL,2022-01-29 21:16:13,69.2167,-51.1,12.22,57,100,16.11
181,Yenagoa,NG,2022-01-29 21:16:14,4.9247,6.2642,76.32,61,8,3.98
182,Katherine,AU,2022-01-29 21:15:06,-14.4667,132.2667,79.12,89,98,10.36
183,Longyearbyen,SJ,2022-01-29 21:14:22,78.2186,15.6401,8.44,66,0,14.97
184,Tubinskiy,RU,2022-01-29 21:16:14,52.8892,58.2225,-0.26,91,99,3.6
185,Ponta Delgada,PT,2022-01-29 21:16:15,37.7333,-25.6667,59.5,77,20,8.05
186,Deputatskiy,RU,2022-01-29 21:16:45,69.3,139.9,-18.06,87,100,2.17
187,Honiara,SB,2022-01-29 21:17:16,-9.4333,159.95,78.76,86,100,0.49
188,Sistranda,NO,2022-01-29 21:17:16,63.7256,8.834,37.9,63,80,18.57
189,Sorland,NO,2022-01-29 21:17:16,67.667,12.6934,35.46,73,100,14.74
190,Katsuura,JP,2022-01-29 21:17:17,35.1333,140.3,42.19,83,43,14.03
191,Mukdahan,TH,2022-01-29 21:17:18,16.5833,104.5,73.69,55,60,3.89
192,Grand Gaube,MU,2022-01-29 21:17:18,-20.0064,57.6608,79.38,74,90,5.01
193,Panaba,MX,2022-01-29 21:17:19,21.2833,-88.2667,72.3,47,98,15.5
194,Petropavlovsk-Kamchatskiy,RU,2022-01-29 21:17:19,53.0452,158.6483,18.19,93,75,2.24
195,Souillac,MU,2022-01-29 21:17:19,-20.5167,57.5167,79.36,83,20,5.75
196,Oktyabrskoye,RU,2022-01-29 21:17:20,43.0645,44.7417,21.34,92,71,6.71
197,Codrington,AU,2022-01-29 21:17:20,-38.2667,141.9667,63.81,82,80,6.33
198,Adrar,MR,2022-01-29 21:17:21,20.5022,-10.0711,78.67,11,100,10.65
199,Murmino,RU,2022-01-29 21:17:21,54.6036,40.0544,12.04,100,89,4.18
200,Tuatapere,NZ,2022-01-29 21:17:21,-46.1333,167.6833,57.9,93,100,5.01
201,Anadyr,RU,2022-01-29 21:17:22,64.75,177.4833,-14.01,83,20,0.0
202,Breves,BR,2022-01-29 21:17:23,-1.6822,-50.4803,73.24,96,100,2.04
203,Castro,BR,2022-01-29 21:16:08,-24.7911,-50.0119,60.17,99,100,6.11
204,Lithakia,GR,2022-01-29 21:17:23,37.7167,20.8333,46.58,65,57,17.47
205,Lamar,US,2022-01-29 21:17:24,33.6668,-95.5836,66.97,17,0,12.66
206,Shurugwi,ZW,2022-01-29 21:17:24,-19.6702,30.0059,63.41,93,100,6.22
207,Te Anau,NZ,2022-01-29 21:17:24,-45.4167,167.7167,57.67,88,100,1.41
208,Madras,IN,2022-01-29 21:17:25,13.0878,80.2785,78.96,80,75,4.0
209,Garowe,SO,2022-01-29 21:17:25,8.4054,48.4845,67.66,75,91,17.72
210,Churapcha,RU,2022-01-29 21:17:26,62.0025,132.4325,-38.65,100,80,2.73
211,Puerto Madero,MX,2022-01-29 21:17:24,14.7208,-92.4215,88.0,58,40,5.75
212,Krasnoselkup,RU,2022-01-29 21:17:27,65.7,82.4667,-11.7,99,99,7.83
213,Vanavara,RU,2022-01-29 21:16:31,60.34,102.2797,-6.39,99,100,2.89
214,Arraial Do Cabo,BR,2022-01-29 21:17:27,-22.9661,-42.0278,75.16,83,75,9.22
215,Urdoma,RU,2022-01-29 21:13:13,61.7533,48.5442,15.48,94,100,7.29
216,Gawler,AU,2022-01-29 21:17:28,-34.6,138.7333,71.51,74,0,6.31
217,Isangel,VU,2022-01-29 21:16:54,-19.55,169.2667,80.17,88,100,15.5
218,Karratha,AU,2022-01-29 21:17:29,-20.7377,116.8463,80.83,62,75,14.7
219,Balashov,RU,2022-01-29 21:17:29,51.5502,43.1667,27.52,98,100,5.64
220,Choma,ZM,2022-01-29 21:17:30,-16.8065,26.9531,65.21,96,100,1.97
221,Paka,MY,2022-01-29 21:17:30,4.6374,103.4368,71.53,100,51,1.14
222,Fuyu,CN,2022-01-29 21:17:31,45.1833,124.8167,-5.51,93,5,4.29
223,Puerto Escondido,MX,2022-01-29 21:17:31,15.85,-97.0667,83.23,65,20,9.22
224,Thompson,CA,2022-01-29 21:17:31,55.7435,-97.8558,-0.24,71,40,4.61
225,Ahipara,NZ,2022-01-29 21:17:32,-35.1667,173.1667,68.52,63,65,8.95
226,Lebu,CL,2022-01-29 21:17:32,-37.6167,-73.65,64.4,76,2,10.96
227,Nanortalik,GL,2022-01-29 21:16:12,60.1432,-45.2371,19.78,65,100,12.53
228,Lavrentiya,RU,2022-01-29 21:17:33,65.5833,-171.0,-3.82,83,3,4.07
229,Provideniya,RU,2022-01-29 21:18:33,64.3833,-173.3,2.66,86,4,5.01
230,Tilichiki,RU,2022-01-29 21:18:34,60.4667,166.1,18.82,71,100,14.54
231,Lagoa,PT,2022-01-29 21:14:36,39.05,-27.9833,58.5,73,77,13.76
232,Palana,RU,2022-01-29 21:18:35,59.1167,159.9667,20.62,75,59,11.97
233,Vanimo,PG,2022-01-29 21:18:35,-2.6741,141.3028,76.08,89,100,7.49
234,Perevoz,RU,2022-01-29 21:18:35,55.5961,44.5446,17.53,97,100,3.62
235,Billings,US,2022-01-29 21:18:36,45.7833,-108.5007,55.17,13,75,17.27
236,Nishihara,JP,2022-01-29 21:18:36,26.1842,127.7558,61.88,94,100,9.22
237,Ladovskaya Balka,RU,2022-01-29 21:18:37,45.6297,41.4023,34.05,95,100,13.53
238,Ugoofaaru,MV,2022-01-29 21:18:37,5.6667,73.0,82.11,71,69,15.84
239,Yacuiba,BO,2022-01-29 21:18:37,-22.038,-63.6797,84.43,39,7,8.05
240,Oranjemund,NA,2022-01-29 21:18:38,-28.55,16.4333,65.75,85,79,12.86
241,Juneau,US,2022-01-29 21:15:12,58.3019,-134.4197,41.22,89,100,0.0
242,Liepaja,LV,2022-01-29 21:18:38,56.5419,21.0367,42.85,87,100,33.38
243,Baruun-Urt,MN,2022-01-29 21:18:39,46.6806,113.2792,-8.36,88,16,2.33
244,Mackay,AU,2022-01-29 21:16:02,-21.15,149.2,76.68,79,23,12.44
245,Labuhan,ID,2022-01-29 21:14:23,-6.8844,112.2051,78.21,86,100,6.31
246,Cherskiy,RU,2022-01-29 21:18:40,68.75,161.3,-29.11,100,43,1.95
247,Lhokseumawe,ID,2022-01-29 21:18:40,5.1801,97.1507,77.04,86,77,4.56
248,Shcheglovo,RU,2022-01-29 21:18:41,60.0284,30.7529,27.39,78,100,14.58
249,Comodoro Rivadavia,AR,2022-01-29 21:18:41,-45.8667,-67.5,87.66,8,0,19.57
250,Lodja,CD,2022-01-29 21:18:41,-3.4833,23.4333,73.02,74,76,0.67
251,Hofn,IS,2022-01-29 21:18:42,64.2539,-15.2082,29.08,54,16,6.24
252,Inirida,CO,2022-01-29 21:18:42,3.8653,-67.9239,90.91,39,94,2.37
253,Bubaque,GW,2022-01-29 21:17:11,11.2833,-15.8333,78.44,72,92,21.16
254,Hashtrud,IR,2022-01-29 21:18:43,37.4779,47.0508,3.58,98,54,1.52
255,Lazaro Cardenas,MX,2022-01-29 21:18:43,17.9583,-102.2,83.53,58,0,9.26
256,Le Port,RE,2022-01-29 21:18:44,-20.9373,55.2919,75.2,83,88,2.08
257,Constitucion,CL,2022-01-29 21:15:50,-35.3333,-72.4167,65.12,74,51,10.33
258,Bilma,NE,2022-01-29 21:18:45,18.6853,12.9164,61.03,18,1,10.92
259,Luderitz,NA,2022-01-29 21:18:45,-26.6481,15.1594,67.57,80,73,8.81
260,Biak,ID,2022-01-29 21:18:34,-0.9131,122.8766,76.35,79,98,3.31
261,Qinhuangdao,CN,2022-01-29 21:18:46,39.9317,119.5883,22.64,42,0,3.89
262,Evensk,RU,2022-01-29 21:18:47,61.95,159.2333,15.4,80,100,11.39
263,Kodiak,US,2022-01-29 21:18:47,57.79,-152.4072,35.11,55,0,24.16
264,Xining,CN,2022-01-29 21:18:47,36.6167,101.7667,10.31,61,13,1.81
265,Contamana,PE,2022-01-29 21:18:48,-7.3333,-75.0167,92.5,43,100,7.81
266,Healdsburg,US,2022-01-29 21:13:51,38.6105,-122.8692,68.9,47,0,0.0
267,Nagato,JP,2022-01-29 21:18:48,34.3833,131.2,39.11,56,100,7.2
268,Ozinki,RU,2022-01-29 21:18:49,51.1786,49.6769,30.25,98,100,12.3
269,Escarcega,MX,2022-01-29 21:18:50,18.6089,-90.7454,73.47,52,100,5.5
270,Impfondo,CG,2022-01-29 21:18:50,1.6381,18.0667,75.85,31,36,2.01
271,Kenai,US,2022-01-29 21:18:51,60.5544,-151.2583,23.09,95,100,3.44
